id,scientific.name,family,taxon.rank,taxon.status,threat.status,life.form,habitat,vegetation.type,domain,original.search,notes,search.str,accepted.name,obs
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa quadrangularis,not found,NA,Zapoteca tetragona,
114576,Vachellia farnesiana (L.) Wight & Arn.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu),Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa farnesiana,replaced synonym,Vachellia farnesiana,Vachellia farnesiana,"This species is not a mimosa. It's ""Vachellia farnesiana"" Flora 2020"
101020,Senegalia tenuifolia (L.) Britton & Rose,Fabaceae,species,accepted,NA,Arbusto|Liana/vol�vel/trepadeira,Terr�cola,Caatinga (stricto sensu)|Campinarana|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial),Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa tenuifolia,replaced synonym,Senegalia tenuifolia,Senegalia tenuifolia,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pungens pungens,not found,NA,Pithecellobium dulce,
23092,Mimosa setosa Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa aff. setosa,,Mimosa setosa,NA,will we remove aff.?
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa bifurca radula,not found,NA,NA,"there isn't a ""M. bifurca radula"""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa caracenii,not found,NA,NA,Thete isn't a M. caracenii
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa debilis paludigera,not found,NA,NA,there ins't a M. debilis var. paludigera
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa entada,not found,NA,NA,There isn't a M. entada
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa guilandinae micrantha,not found,NA,NA,there isn’t a M. guilandinae var. Or subsp. micranthe
